Date,Regime-aware HMM,K-Means Regime Strategy,Buy and Hold,Standalone Momentum,Standalone Mean Reversion
2021-02-25,-0.026258154718102333,-0.026258154718102333,-0.026258154718102666,-0.026258154718102333,-0.02409579275439344
2021-02-26,-0.03127542805121153,-0.03127542805121153,-0.03127542805121175,-0.03127542805121153,-0.029124207809581804
2021-03-01,-0.007793329816717431,-0.007793329816717431,-0.0077933298167176535,-0.007793329816717431,-0.005589963519851193
2021-03-02,-0.01553598094815456,-0.01553598094815456,-0.015535980948154893,-0.01553598094815456,-0.006087168538091214
2021-03-03,-0.028575932283257388,-0.028575932283257388,-0.02857593228325772,-0.028575932283257388,-0.019749232771658187
2021-03-04,-0.029061644317115665,-0.029061644317115665,-0.04059696652585232,-0.029061644317115665,-0.0318794943441123
2021-03-05,-0.029061644317115665,-0.029061644317115665,-0.02294717510997024,-0.029061644317115665,-0.014069330738114894
2021-03-08,-0.029061644317115665,-0.029061644317115665,-0.02781182795429704,-0.029061644317115665,-0.01456229607274584
2021-03-09,-0.029061644317115665,-0.029061644317115665,-0.013931378555419371,-0.029061644317115665,-0.0009853948877507346
2021-03-10,-0.029061644317115665,-0.023503247155588713,-0.0077933298167176535,-0.029061644317115665,-0.001484902190306836
2021-03-11,-0.029061644317115665,-0.013602519203408936,0.0,-0.029061644317115665,-0.001484902190306836
2021-03-12,-0.028239353119926425,-0.012273936876976421,0.0,-0.028239353119926425,-0.001484902190306836
2021-03-15,-0.022444232875062475,-0.006383606451309198,0.0,-0.022444232875062475,-0.001484902190306836
2021-03-16,-0.023677371343036158,-0.007637004608733733,-0.0012614507626509397,-0.023677371343036158,-0.001484902190306836
2021-03-17,-0.020348285513114628,-0.004253223992442878,0.0,-0.020348285513114628,-0.001484902190306836
2021-03-18,-0.03460189167518102,-0.0187410079389988,-0.014549666939063233,-0.03460189167518102,-0.001484902190306836
2021-03-19,-0.036388058873940254,-0.02055652074143033,-0.016372934506858616,-0.036388058873940254,-0.00383159956718937
